Geographical Name;Latitude;Longitude;Generic Term;Province - Territory
Holden;53.2333333;-112.2338889;Village;Alberta
Hornbeck;53.5491667;-116.6916667;Hamlet;Alberta
Hughenden;52.5105556;-110.9672222;Village;Alberta
Hussar;51.0413889;-112.6816667;Village;Alberta
Huxley;51.9225;-113.2316667;Hamlet;Alberta
Hythe;55.3272222;-119.5538889;Village;Alberta
Imperial Mills;54.9988889;-111.7338889;Hamlet;Alberta
Indian Cabins;59.8675;-117.0347222;Hamlet;Alberta
Indus;50.9158333;-113.78;Hamlet;Alberta
Innisfail;52.028139;-113.950639;Town;Alberta
Innisfree;53.3825;-111.5308333;Village;Alberta
Irma;52.9119444;-111.2283333;Village;Alberta
Iron Springs;49.93;-112.6875;Hamlet;Alberta
Irricana;51.3236111;-113.6080556;Town;Alberta
Islay;53.3938889;-110.5388889;Hamlet;Alberta
Jarvie;54.4547222;-113.9869444;Hamlet;Alberta
Jasper;52.8777778;-118.0830556;Hamlet;Alberta
Jean Cote;55.8980556;-117.3105556;Hamlet;Alberta
Josephburg;53.7133333;-113.07;Hamlet;Alberta
Joussard;55.3977777;-115.9522222;Hamlet;Alberta
Kananaskis;51.0761111;-115.1294444;Hamlet;Alberta
Kathleen;55.6213889;-116.8361111;Hamlet;Alberta
Kavanagh;53.1822222;-113.5169444;Hamlet;Alberta
Keg River;57.7881758;-117.8584033;Hamlet;Alberta
Kikino;54.4441667;-112.0938889;Hamlet;Alberta
Killam;52.7897223;-111.8552778;Town;Alberta
Kingman;53.2133333;-112.7494444;Hamlet;Alberta
Kinsella;53.0002778;-111.5238889;Hamlet;Alberta
Kinuso;55.331944;-115.435278;Village;Alberta
Kitscoty;53.3419444;-110.3333333;Village;Alberta
La Corey;54.4433334;-110.7594444;Locality;Alberta
La Crete;58.1863889;-116.4102778;Hamlet;Alberta
La Glace;55.4027778;-119.1541667;Hamlet;Alberta
Lac des Arcs;51.0516667;-115.1563889;Hamlet;Alberta
Lac La Biche;54.7702778;-111.9791667;Town;Alberta
Lac La Biche Mission;54.8236111;-112.0922222;Hamlet;Alberta
Lacombe;52.464444;-113.734167;City;Alberta
Lake Louise;51.4252778;-116.1805556;Hamlet;Alberta
Lamont;53.7591666;-112.7844444;Town;Alberta
Lamoureux;53.7152778;-113.2244444;Hamlet;Alberta
Langdon;50.9688889;-113.6775;Hamlet;Alberta
Lavoy;53.4566667;-111.8652778;Village;Alberta
Leavitt;49.1666667;-113.45;Hamlet;Alberta
Leduc;53.2666666;-113.5458333;City;Alberta
Leedale;52.5819444;-114.4697222;Hamlet;Alberta
Legal;53.9495;-113.595111;Town;Alberta
Leslieville;52.3833333;-114.6047222;Hamlet;Alberta
Lethbridge;49.6936111;-112.8419444;City;Alberta
Lindbergh;53.8875;-110.6727778;Hamlet;Alberta
Linden;51.5905556;-113.4883333;Village;Alberta
Little Buffalo;56.4375;-116.1075;Hamlet;Alberta
Little Smoky;54.7388889;-117.1797222;Hamlet;Alberta
Lloydminster;53.2838889;-110;City;Alberta
Lodgepole;53.1005556;-115.3136111;Hamlet;Alberta
Lomond;50.3494445;-112.6405556;Village;Alberta
Longview;50.5308333;-114.2308333;Village;Alberta
Loon Lake;56.5388889;-115.3938889;Hamlet;Alberta
Lougheed;52.7444444;-111.5427778;Village;Alberta
Lousana;52.1127778;-113.19;Hamlet;Alberta
Lundbreck;49.5855555;-114.1619444;Hamlet;Alberta
Magnolia Bridge;53.5916667;-114.8575;Hamlet;Alberta
Magrath;49.4077778;-112.8666667;Town;Alberta
Mallaig;54.2102778;-111.3608333;Hamlet;Alberta
Manning;56.9222222;-117.6283333;Town;Alberta
Mannville;53.3402778;-111.1777778;Village;Alberta
Manola;54.0980555;-114.2327778;Hamlet;Alberta
Manyberries;49.4005555;-110.6947222;Hamlet;Alberta
Mariana Lake;55.9536111;-112.0166667;Locality;Alberta
Marie-Reine;56.0763889;-117.2894444;Hamlet;Alberta
Markerville;52.1236111;-114.1705556;Hamlet;Alberta
Marlboro;53.5555555;-116.7961111;Hamlet;Alberta
Marwayne;53.5175;-110.33;Village;Alberta
Mayerthorpe;53.9547222;-115.1380556;Town;Alberta
McLaughlin;52.9897222;-110.165;Hamlet;Alberta
McLennan;55.7086111;-116.9072222;Town;Alberta
Meander River;59.033333;-117.7;Hamlet;Alberta
Medicine Hat;50.0408334;-110.6766667;City;Alberta
Meeting Creek;52.6819445;-112.7316667;Hamlet;Alberta
Metiskow;52.4086111;-110.6333333;Hamlet;Alberta
Michichi;51.5852778;-112.5336111;Hamlet;Alberta
Milk River;49.15;-112.0866667;Town;Alberta
Millet;53.0961111;-113.4727778;Town;Alberta
Milo;50.57;-112.8819444;Village;Alberta
Minburn;53.3155556;-111.3641667;Village;Alberta
Monarch;49.8044444;-113.1077778;Hamlet;Alberta
Monitor;51.9783333;-110.5694444;Hamlet;Alberta
Morecambe;53.6644444;-111.47;Hamlet;Alberta
Morinville;53.8027778;-113.6438889;Town;Alberta
Morningside;52.5777778;-113.6338889;Hamlet;Alberta
Morrin;51.6602778;-112.7672222;Village;Alberta
Mossleigh;50.7202778;-113.3244444;Hamlet;Alberta
Mountain View;49.1344444;-113.5963889;Hamlet;Alberta
Mulhurst;53.0544444;-113.9955556;Hamlet;Alberta
Mundare;53.5938889;-112.3416667;Town;Alberta
Munson;51.5633333;-112.7383333;Village;Alberta
Myrnam;53.6616667;-111.2302778;Village;Alberta
Nacmine;51.466667;-112.78333;Hamlet;Alberta
Nampa;56.0372222;-117.1330556;Village;Alberta
Nanton;50.35;-113.7666667;Town;Alberta
Neerlandia;54.3191667;-114.3772222;Hamlet;Alberta
New Brigden;51.7005555;-110.49;Hamlet;Alberta
New Dayton;49.4255556;-112.3813889;Hamlet;Alberta
New Norway;52.868889;-112.951111;Hamlet;Alberta
New Sarepta;53.274167;-113.145556;Hamlet;Alberta
Newbrook;54.3297222;-112.9519444;Hamlet;Alberta
Nisku;53.3433333;-113.5413889;Hamlet;Alberta
Niton;53.6577778;-115.7594444;Hamlet;Alberta
Niton Junction;53.6219444;-115.7697222;Hamlet;Alberta
Nobleford;49.8813889;-113.0558333;Village;Alberta
Noral;54.6530555;-112.3602778;Hamlet;Alberta
Nordegg;52.4705556;-116.0752778;Hamlet;Alberta
North Cooking Lake;53.4613889;-112.9391667;Hamlet;Alberta
North Star;56.8563889;-117.6152778;Hamlet;Alberta
Notikewin;56.9747222;-117.625;Hamlet;Alberta
Ohaton;52.9694444;-112.6561111;Hamlet;Alberta
Okotoks;50.7261111;-113.9775;Town;Alberta
Olds;51.7919444;-114.1075;Town;Alberta
Onoway;53.7025;-114.1919444;Village;Alberta
Oyen;51.3527778;-110.4833333;Town;Alberta
Paddle Prairie;57.9511111;-117.4722222;Hamlet;Alberta
Paradise Valley;53.0327778;-110.2958333;Village;Alberta
Parkland;50.2561111;-113.6586111;Hamlet;Alberta
Patricia;50.6994444;-111.6769444;Hamlet;Alberta
Peace River;56.2358334;-117.2986111;Town;Alberta
Peerless Lake;56.6708334;-114.5752778;Hamlet;Alberta
Peers;53.6658333;-115.9925;Hamlet;Alberta
Penhold;52.1369444;-113.8730556;Town;Alberta
Philomena;55.1755556;-111.6158333;Hamlet;Alberta
Pibroch;54.2544444;-113.875;Hamlet;Alberta
Pickardville;54.05;-113.8833333;Hamlet;Alberta
Picture Butte;49.8769444;-112.7797222;Town;Alberta
Pincher;49.533333;-113.93333;Hamlet;Alberta
Pincher Creek;49.4852778;-113.9475;Town;Alberta
Pipestone;53.0536111;-113.7947222;Hamlet;Alberta
Ponoka;52.675;-113.58;Town;Alberta
Provost;52.3533333;-110.2647222;Town;Alberta
Queenstown;50.6394444;-112.9394444;Hamlet;Alberta
Radway;54.06;-112.945;Locality;Alberta
Rainbow Lake;58.5044444;-119.4002778;Town;Alberta
Ralston;50.2458333;-111.1686111;Hamlet;Alberta
Ranfurly;53.4072223;-111.6797222;Hamlet;Alberta
Raymond;49.465;-112.6611111;Town;Alberta
Red Deer;52.2686111;-113.8102778;City;Alberta
Red Earth Creek;56.5405555;-115.2852778;Hamlet;Alberta
Red Willow;52.45;-112.5666667;Hamlet;Alberta
Redcliff;50.0775;-110.7855556;Town;Alberta
Redwater;53.9508334;-113.1075;Town;Alberta
Reno;55.9927778;-116.9936111;Hamlet;Alberta
Ribstone;52.7069444;-110.2644444;Hamlet;Alberta
Rich Valley;53.8483333;-114.35;Hamlet;Alberta
Rimbey;52.6391667;-114.2366667;Town;Alberta
Riverview;53.8619444;-110.6419444;Hamlet;Alberta
Riviere Qui Barre;53.7747222;-113.8433333;Hamlet;Alberta
Robb;53.2333333;-116.9786111;Hamlet;Alberta
Rochester;54.3725;-113.4605556;Hamlet;Alberta
Rochfort Bridge;53.9136111;-115.0363889;Hamlet;Alberta
Rocky Mountain House;52.3747222;-114.9219444;Town;Alberta
Rocky Rapids;53.2797222;-114.9516667;Hamlet;Alberta
Rockyford;51.2341667;-113.1425;Village;Alberta
Rolling Hills;50.2255556;-111.7744444;Hamlet;Alberta
Rolly View;53.2527778;-113.3169444;Hamlet;Alberta
Rosalind;52.7897223;-112.4438889;Village;Alberta
Rosebud;51.2997222;-112.9511111;Hamlet;Alberta
Rosedale;51.416667;-112.63333;Hamlet;Alberta
Rosemary;50.7575;-112.0897222;Village;Alberta
Round Hill;53.1652778;-112.6308333;Hamlet;Alberta
Rowley;51.7622222;-112.7883333;Hamlet;Alberta
Royalties;50.55;-114.2333333;Hamlet;Alberta
Rycroft;55.7558333;-118.7086111;Village;Alberta
Ryley;53.2908333;-112.4297222;Village;Alberta
Saddle Lake;53.9683333;-111.6919444;Hamlet;Alberta
Sandy Lake;55.8144444;-113.4161111;Hamlet;Alberta
Sangudo;53.8891667;-114.9041667;Village;Alberta
Saskatchewan River Crossing;51.9744445;-116.7455556;Locality;Alberta
Scandia;50.2780556;-112.0466667;Hamlet;Alberta
Schuler;50.3313889;-110.1075;Hamlet;Alberta
Sedgewick;52.7747223;-111.6927778;Town;Alberta
Seebe;51.0963889;-115.0569444;Hamlet;Alberta
Seven Persons;49.8741667;-110.9058333;Hamlet;Alberta
Sexsmith;55.3502778;-118.7816667;Town;Alberta
Sheerness;51.4891666;-111.6788889;Hamlet;Alberta
Shepard;50.9519445;-113.9097222;Hamlet;Alberta
Sherwood Park;53.5338889;-113.2902778;Urban Community;Alberta
Sibbald;51.3883333;-110.1502778;Hamlet;Alberta
Slave Lake;55.2822222;-114.7702778;Town;Alberta
Smith;55.1627778;-114.0369444;Hamlet;Alberta
Smoky Lake;54.1166666;-112.4666667;Town;Alberta
Spedden;54.1386111;-111.7255556;Hamlet;Alberta
Spirit River;55.7786111;-118.8366667;Town;Alberta
Spring Coulee;49.3344444;-113.0516667;Hamlet;Alberta
Spring Lake;53.5186111;-114.1330556;Village;Alberta
Spruce Grove;53.5538889;-113.9022222;City;Alberta
Spurfield;55.2263889;-114.2616667;Hamlet;Alberta
Sputinow;53.916667;-110.25;Hamlet;Alberta
St. Albert;53.6369444;-113.6202778;City;Alberta
St. Lina;54.2961111;-111.4536111;Hamlet;Alberta
St. Michael;53.8302778;-112.6358333;Hamlet;Alberta
St. Paul;53.9927777;-111.2961111;Town;Alberta
Stand Off;49.4613889;-113.3083333;Hamlet;Alberta
Standard;51.1097222;-112.9836111;Village;Alberta
Stavely;50.1611111;-113.6416667;Town;Alberta
Steen River;59.6275;-117.1672222;Hamlet;Alberta
Stettler;52.3238889;-112.7044444;Town;Alberta
Stirling;49.4969444;-112.5130556;Village;Alberta
Stony Plain;53.5263889;-114.0069444;Town;Alberta
Strathmore;51.0455556;-113.3930556;Town;Alberta
Strome;52.8108333;-112.0672222;Village;Alberta
Sturgeon Heights;55.0886111;-117.6741667;Hamlet;Alberta
Suffield;50.2183333;-111.1611111;Hamlet;Alberta
Sundre;51.7955555;-114.6377778;Town;Alberta
Sunnybrook;53.1938889;-114.2313889;Hamlet;Alberta
Sunnyslope;51.6480556;-113.5566667;Hamlet;Alberta
Swalwell;51.5572222;-113.3183333;Hamlet;Alberta
Swan Hills;54.7166666;-115.4016667;Town;Alberta
Sweetgrass Landing;58.9272222;-111.9163889;Hamlet;Alberta
Sylvan Lake;52.3088888;-114.0977778;Town;Alberta
Taber;49.78475;-112.150972;Town;Alberta
Tangent;55.7986111;-117.6788889;Hamlet;Alberta
Tar Island;57.0191666;-111.4677778;Hamlet;Alberta
Tawatinaw;54.2980555;-113.4833333;Hamlet;Alberta
Tees;52.4675;-113.3208333;Hamlet;Alberta
Telfordville;53.2733333;-114.1705556;Hamlet;Alberta
Therien;54.233333;-111.26667;Hamlet;Alberta
Thorhild;54.158889;-113.125278;Hamlet;Alberta
Thorsby;53.2269445;-114.0480556;Village;Alberta
Three Hills;51.7030555;-113.2686111;Town;Alberta
Tilley;50.4522221;-111.6533331;Hamlet;Alberta
Tofield;53.3708333;-112.6658333;Town;Alberta
Tomahawk;53.3961111;-114.7633333;Hamlet;Alberta
Trochu;51.8286111;-113.2280556;Town;Alberta
Trout Lake;56.5;-114.5333333;Hamlet;Alberta
Tulliby Lake;53.7163889;-110.1852778;Hamlet;Alberta
Turin;49.9652778;-112.5263889;Hamlet;Alberta
Turner Valley;50.6752778;-114.2802778;Town;Alberta
Two Hills;53.7111111;-111.7447222;Town;Alberta
Valhalla Centre;55.4036111;-119.3819444;Hamlet;Alberta
Valleyview;55.065944;-117.281861;Town;Alberta
Vauxhall;50.0683333;-112.1066667;Town;Alberta
Vegreville;53.4955555;-112.0516667;Town;Alberta
Vermilion;53.3547222;-110.8527778;Town;Alberta
Veteran;52.0027778;-111.1208333;Village;Alberta
Viking;53.0947222;-111.7755556;Town;Alberta
Villeneuve;53.6563889;-113.8116667;Hamlet;Alberta
Vilna;54.1166666;-111.9208333;Village;Alberta
Vimy;54.0666666;-113.65;Hamlet;Alberta
Vulcan;50.4041666;-113.2605556;Town;Alberta
Wabamun;53.5583333;-114.4730556;Village;Alberta
Wabasca-Desmarais;55.9666667;-113.85;Hamlet;Alberta
